,SK_ID_CURR
0,100001
1,100002
2,100003
3,100004
4,100005
5,100006
6,100007
7,100008
8,100009
9,100010
10,100011
11,100012
12,100013
13,100014
14,100015
15,100016
16,100017
17,100018
18,100019
19,100020
20,100021
21,100022
22,100023
23,100024
24,100025
25,100026
26,100027
27,100028
28,100029
29,100030
30,100031
31,100032
32,100033
33,100034
34,100035
35,100036
36,100037
37,100038
38,100039
39,100040
40,100041
41,100042
42,100043
43,100044
44,100045
45,100046
46,100047
47,100048
48,100049
49,100050
50,100051
51,100052
52,100053
53,100054
54,100055
55,100056
56,100057
57,100058
58,100059
59,100060
60,100061
61,100062
62,100063
63,100064
64,100065
65,100066
66,100067
67,100068
68,100069
69,100070
70,100071
71,100072
72,100073
73,100074
74,100075
75,100076
76,100077
77,100078
78,100079
79,100080
80,100081
81,100082
82,100083
83,100084
84,100085
85,100086
86,100087
87,100088
88,100089
89,100090
90,100091
91,100092
92,100093
93,100094
94,100095
95,100096
96,100097
97,100098
98,100099
99,100100
100,100101
101,100102
102,100103
103,100104
104,100105
105,100106
106,100107
107,100108
108,100109
109,100110
110,100111
111,100112
112,100113
113,100114
114,100115
115,100116
116,100117
117,100118
118,100119
119,100120
120,100121
121,100122
122,100123
123,100124
124,100125
125,100126
126,100127
127,100128
128,100129
129,100130
130,100131
131,100132
132,100133
133,100134
134,100135
135,100136
136,100137
137,100138
138,100139
139,100140
140,100141
141,100142
142,100143
143,100144
144,100145
145,100146
146,100147
147,100148
148,100149
149,100150
150,100151
151,100152
152,100153
153,100154
154,100155
155,100156
156,100157
157,100158
158,100159
159,100160
160,100161
161,100162
162,100163
163,100164
164,100165
165,100166
166,100167
167,100168
168,100169
169,100170
170,100171
171,100172
172,100173
173,100174
174,100175
175,100176
176,100177
177,100178
178,100179
179,100180
180,100181
181,100182
182,100183
183,100184
184,100185
185,100186
186,100187
187,100188
188,100189
189,100190
190,100191
191,100192
192,100193
193,100194
194,100195
195,100196
196,100197
197,100198
198,100199
199,100200
200,100201
201,100202
202,100203
203,100204
204,100205
205,100206
206,100207
207,100208
208,100209
209,100210
210,100211
211,100212
212,100213
213,100214
214,100215
215,100216
216,100217
217,100218
218,100219
219,100220
220,100221
221,100222
222,100223
223,100224
224,100225
225,100226
226,100227
227,100228
228,100229
229,100230
230,100231
231,100232
232,100233
233,100234
234,100235
235,100236
236,100237
237,100238
238,100239
239,100240
240,100241
241,100242
242,100243
243,100244
244,100245
245,100246
246,100247
247,100248
248,100249
249,100250
250,100251
251,100252
252,100253
253,100254
254,100255
255,100256
256,100257
257,100258
258,100259
259,100260
260,100261
261,100262
262,100263
263,100264
264,100265
265,100266
266,100267
267,100268
268,100269
269,100270
270,100271
271,100272
272,100273
273,100274
274,100275
275,100276
